Volatility 3 Framework 2.27.0

OFFSET (V)	PID	TID	PPID	COMM	UID	GID	EUID	EGID	CREATION TIME	File output
0x9b837ca44500	35	35	2	md	0	0	0	0	2025-10-22 15:39:58.168000 UTC	Disabled
0x9b837ca11700	36	36	2	edac-poller	0	0	0	0	2025-10-22 15:39:58.168000 UTC	Disabled
0x9b837ca12e00	37	37	2	devfreq_wq	0	0	0	0	2025-10-22 15:39:58.168000 UTC	Disabled
0x9b837ca40000	38	38	2	watchdogd	0	0	0	0	2025-10-22 15:39:58.168000 UTC	Disabled
0x9b8371961700	41	41	2	kswapd0	0	0	0	0	2025-10-22 15:39:58.685235 UTC	Disabled
0x9b8371962e00	42	42	2	kworker/u5:0	0	0	0	0	2025-10-22 15:39:58.686290 UTC	Disabled
0x9b8371964500	43	43	2	ecryptfs-kthrea	0	0	0	0	2025-10-22 15:39:58.686825 UTC	Disabled
0x9b8371a41700	85	85	2	kthrotld	0	0	0	0	2025-10-22 15:39:58.691216 UTC	Disabled
0x9b8371a42e00	86	86	2	acpi_thermal_pm	0	0	0	0	2025-10-22 15:39:58.693680 UTC	Disabled
0x9b8333c32e00	90	90	2	ipv6_addrconf	0	0	0	0	2025-10-22 15:39:58.703700 UTC	Disabled
0x9b8371a08000	99	99	2	kstrp	0	0	0	0	2025-10-22 15:39:58.706568 UTC	Disabled
0x9b83719d9700	116	116	2	charger_manager	0	0	0	0	2025-10-22 15:39:58.721722 UTC	Disabled
0x9b8371a2ae00	157	157	2	kworker/0:2	0	0	0	0	2025-10-22 15:39:58.796159 UTC	Disabled
0x9b83336d4500	200	200	2	scsi_eh_0	0	0	0	0	2025-10-22 15:39:59.145040 UTC	Disabled
0x9b83336d0000	201	201	2	scsi_tmf_0	0	0	0	0	2025-10-22 15:39:59.145066 UTC	Disabled
0x9b83336d1700	202	202	2	scsi_eh_1	0	0	0	0	2025-10-22 15:39:59.145278 UTC	Disabled
0x9b83336d2e00	203	203	2	scsi_tmf_1	0	0	0	0	2025-10-22 15:39:59.145289 UTC	Disabled
0x9b83336d5c00	204	204	2	scsi_eh_2	0	0	0	0	2025-10-22 15:39:59.145491 UTC	Disabled
0x9b83336dae00	205	205	2	scsi_tmf_2	0	0	0	0	2025-10-22 15:39:59.145503 UTC	Disabled
0x9b83336dc500	206	206	2	scsi_eh_3	0	0	0	0	2025-10-22 15:39:59.145696 UTC	Disabled
0x9b83336d8000	207	207	2	scsi_tmf_3	0	0	0	0	2025-10-22 15:39:59.145705 UTC	Disabled
0x9b83336ddc00	208	208	2	scsi_eh_4	0	0	0	0	2025-10-22 15:39:59.145904 UTC	Disabled
0x9b83336d9700	209	209	2	scsi_tmf_4	0	0	0	0	2025-10-22 15:39:59.145916 UTC	Disabled
0x9b8371a40000	210	210	2	scsi_eh_5	0	0	0	0	2025-10-22 15:39:59.146104 UTC	Disabled
0x9b8371a45c00	211	211	2	scsi_tmf_5	0	0	0	0	2025-10-22 15:39:59.146114 UTC	Disabled
0x9b8371a44500	212	212	2	scsi_eh_6	0	0	0	0	2025-10-22 15:39:59.146348 UTC	Disabled
0x9b8371a34500	213	213	2	scsi_tmf_6	0	0	0	0	2025-10-22 15:39:59.146385 UTC	Disabled
0x9b8371a30000	214	214	2	scsi_eh_7	0	0	0	0	2025-10-22 15:39:59.146615 UTC	Disabled
0x9b8371a35c00	215	215	2	scsi_tmf_7	0	0	0	0	2025-10-22 15:39:59.146625 UTC	Disabled
0x9b8371a31700	216	216	2	scsi_eh_8	0	0	0	0	2025-10-22 15:39:59.146831 UTC	Disabled
0x9b8371a32e00	217	217	2	scsi_tmf_8	0	0	0	0	2025-10-22 15:39:59.146839 UTC	Disabled
0x9b8371960000	218	218	2	scsi_eh_9	0	0	0	0	2025-10-22 15:39:59.147033 UTC	Disabled
0x9b8371965c00	219	219	2	scsi_tmf_9	0	0	0	0	2025-10-22 15:39:59.147043 UTC	Disabled
0x9b8371a28000	220	220	2	scsi_eh_10	0	0	0	0	2025-10-22 15:39:59.147256 UTC	Disabled
0x9b8371a2c500	221	221	2	scsi_tmf_10	0	0	0	0	2025-10-22 15:39:59.147264 UTC	Disabled
0x9b8371a2dc00	222	222	2	scsi_eh_11	0	0	0	0	2025-10-22 15:39:59.147466 UTC	Disabled
0x9b8371a1ae00	223	223	2	scsi_tmf_11	0	0	0	0	2025-10-22 15:39:59.147474 UTC	Disabled
0x9b8371a19700	224	224	2	scsi_eh_12	0	0	0	0	2025-10-22 15:39:59.147680 UTC	Disabled
0x9b8371a1dc00	225	225	2	scsi_tmf_12	0	0	0	0	2025-10-22 15:39:59.147688 UTC	Disabled
0x9b8371a1c500	226	226	2	scsi_eh_13	0	0	0	0	2025-10-22 15:39:59.147915 UTC	Disabled
0x9b83332eae00	227	227	2	scsi_tmf_13	0	0	0	0	2025-10-22 15:39:59.147930 UTC	Disabled
0x9b83332ec500	228	228	2	scsi_eh_14	0	0	0	0	2025-10-22 15:39:59.148216 UTC	Disabled
0x9b8371a14500	229	229	2	scsi_tmf_14	0	0	0	0	2025-10-22 15:39:59.148248 UTC	Disabled
0x9b83332e8000	230	230	2	scsi_eh_15	0	0	0	0	2025-10-22 15:39:59.148481 UTC	Disabled
0x9b83332edc00	231	231	2	scsi_tmf_15	0	0	0	0	2025-10-22 15:39:59.148492 UTC	Disabled
0x9b83332e9700	232	232	2	scsi_eh_16	0	0	0	0	2025-10-22 15:39:59.148742 UTC	Disabled
0x9b8371a15c00	233	233	2	scsi_tmf_16	0	0	0	0	2025-10-22 15:39:59.148758 UTC	Disabled
0x9b8371a10000	234	234	2	scsi_eh_17	0	0	0	0	2025-10-22 15:39:59.148993 UTC	Disabled
0x9b8371a11700	235	235	2	scsi_tmf_17	0	0	0	0	2025-10-22 15:39:59.149037 UTC	Disabled
0x9b8371a12e00	236	236	2	scsi_eh_18	0	0	0	0	2025-10-22 15:39:59.149245 UTC	Disabled
0x9b8371a01700	237	237	2	scsi_tmf_18	0	0	0	0	2025-10-22 15:39:59.149255 UTC	Disabled
0x9b8371a00000	238	238	2	scsi_eh_19	0	0	0	0	2025-10-22 15:39:59.149468 UTC	Disabled
0x9b8371a02e00	239	239	2	scsi_tmf_19	0	0	0	0	2025-10-22 15:39:59.149480 UTC	Disabled
0x9b8371a05c00	240	240	2	scsi_eh_20	0	0	0	0	2025-10-22 15:39:59.149687 UTC	Disabled
0x9b8371a04500	241	241	2	scsi_tmf_20	0	0	0	0	2025-10-22 15:39:59.149702 UTC	Disabled
0x9b83719dae00	242	242	2	scsi_eh_21	0	0	0	0	2025-10-22 15:39:59.149948 UTC	Disabled
0x9b83719dc500	243	243	2	scsi_tmf_21	0	0	0	0	2025-10-22 15:39:59.149960 UTC	Disabled
0x9b83719d8000	244	244	2	scsi_eh_22	0	0	0	0	2025-10-22 15:39:59.150164 UTC	Disabled
0x9b83719ddc00	245	245	2	scsi_tmf_22	0	0	0	0	2025-10-22 15:39:59.150173 UTC	Disabled
0x9b8333301700	246	246	2	scsi_eh_23	0	0	0	0	2025-10-22 15:39:59.150388 UTC	Disabled
0x9b8333302e00	247	247	2	scsi_tmf_23	0	0	0	0	2025-10-22 15:39:59.150409 UTC	Disabled
0x9b8333304500	248	248	2	scsi_eh_24	0	0	0	0	2025-10-22 15:39:59.150640 UTC	Disabled
0x9b8333300000	249	249	2	scsi_tmf_24	0	0	0	0	2025-10-22 15:39:59.150649 UTC	Disabled
0x9b8333305c00	250	250	2	scsi_eh_25	0	0	0	0	2025-10-22 15:39:59.150883 UTC	Disabled
0x9b8333308000	251	251	2	scsi_tmf_25	0	0	0	0	2025-10-22 15:39:59.150892 UTC	Disabled
0x9b833330dc00	252	252	2	scsi_eh_26	0	0	0	0	2025-10-22 15:39:59.151187 UTC	Disabled
0x9b8333309700	253	253	2	scsi_tmf_26	0	0	0	0	2025-10-22 15:39:59.151196 UTC	Disabled
0x9b833330ae00	254	254	2	scsi_eh_27	0	0	0	0	2025-10-22 15:39:59.151435 UTC	Disabled
0x9b833330c500	255	255	2	scsi_tmf_27	0	0	0	0	2025-10-22 15:39:59.151443 UTC	Disabled
0x9b8333319700	256	256	2	scsi_eh_28	0	0	0	0	2025-10-22 15:39:59.151670 UTC	Disabled
0x9b833331ae00	257	257	2	scsi_tmf_28	0	0	0	0	2025-10-22 15:39:59.151678 UTC	Disabled
0x9b833331c500	258	258	2	scsi_eh_29	0	0	0	0	2025-10-22 15:39:59.151924 UTC	Disabled
0x9b8333318000	259	259	2	scsi_tmf_29	0	0	0	0	2025-10-22 15:39:59.151935 UTC	Disabled
0x9b833338c500	291	291	2	kworker/0:1H	0	0	0	0	2025-10-22 15:40:05.355532 UTC	Disabled
0x9b8333388000	293	293	2	kworker/1:1H	0	0	0	0	2025-10-22 15:40:12.388065 UTC	Disabled
0x9b8332c74500	370	370	2	raid5wq	0	0	0	0	2025-10-22 15:40:15.469906 UTC	Disabled
0x9b8332d55c00	421	421	2	jbd2/sda2-8	0	0	0	0	2025-10-22 15:40:16.701772 UTC	Disabled
0x9b8332d52e00	422	422	2	ext4-rsv-conver	0	0	0	0	2025-10-22 15:40:16.701848 UTC	Disabled
0x9b8332c0ae00	494	494	2	iscsi_eh	0	0	0	0	2025-10-22 15:40:17.621258 UTC	Disabled
0x9b8332c09700	495	495	2	ib-comp-wq	0	0	0	0	2025-10-22 15:40:17.628021 UTC	Disabled
0x9b8333c31700	496	496	2	ib-comp-unb-wq	0	0	0	0	2025-10-22 15:40:17.628225 UTC	Disabled
0x9b8332c0dc00	497	497	2	ib_mcast	0	0	0	0	2025-10-22 15:40:17.628294 UTC	Disabled
0x9b8332c0c500	498	498	2	ib_nl_sa_wq	0	0	0	0	2025-10-22 15:40:17.628331 UTC	Disabled
0x9b8332c08000	499	499	2	rdma_cm	0	0	0	0	2025-10-22 15:40:17.631754 UTC	Disabled
0x9b8371a18000	502	502	1	systemd-journal	0	0	0	0	2025-10-22 15:40:17.677968 UTC	Disabled
0x9b8332dbc500	505	505	1	lvmetad	0	0	0	0	2025-10-22 15:40:17.689358 UTC	Disabled
0x9b8371a09700	524	524	1	systemd-udevd	0	0	0	0	2025-10-22 15:40:17.809905 UTC	Disabled
0x9b83334adc00	557	557	1	systemd-timesyn	62583	62583	62583	62583	2025-10-22 15:40:17.989974 UTC	Disabled
0x9b83334aae00	559	559	2	iprt-VBoxWQueue	0	0	0	0	2025-10-22 15:40:17.997688 UTC	Disabled
0x9b8333325c00	680	680	2	ttm_swap	0	0	0	0	2025-10-22 15:40:18.765796 UTC	Disabled
0x9b8333324500	721	721	1	systemd-network	100	102	100	102	2025-10-22 15:40:18.915128 UTC	Disabled
0x9b8333320000	734	734	1	systemd-resolve	101	103	101	103	2025-10-22 15:40:18.930308 UTC	Disabled
0x9b8333c35c00	833	833	1	cron	0	0	0	0	2025-10-22 15:40:21.911716 UTC	Disabled
0x9b8333c34500	847	847	1	systemd-logind	0	0	0	0	2025-10-22 15:40:21.920963 UTC	Disabled
0x9b8371a29700	849	849	1	lxcfs	0	0	0	0	2025-10-22 15:40:21.924486 UTC	Disabled
0x9b8332c70000	873	873	1	irqbalance	0	0	0	0	2025-10-22 15:40:21.979888 UTC	Disabled
0x9b8332c72e00	874	874	1	atd	0	0	1	1	2025-10-22 15:40:21.980907 UTC	Disabled
0x9b8373c9dc00	887	887	1	rsyslogd	102	106	102	106	2025-10-22 15:40:21.984482 UTC	Disabled
0x9b8373c99700	889	889	1	networkd-dispat	0	0	0	0	2025-10-22 15:40:21.986634 UTC	Disabled
0x9b8373c9c500	893	893	1	dbus-daemon	103	107	103	107	2025-10-22 15:40:21.992550 UTC	Disabled
0x9b83736ac500	951	951	1	accounts-daemon	0	0	0	0	2025-10-22 15:40:22.094772 UTC	Disabled
0x9b83736a8000	953	953	1	unattended-upgr	0	0	0	0	2025-10-22 15:40:22.095494 UTC	Disabled
0x9b83736ec500	983	983	1	sshd	0	0	0	0	2025-10-22 15:40:22.175936 UTC	Disabled
0x9b83736e9700	1080	1080	2	kworker/1:3	0	0	0	0	2025-10-22 15:40:22.312315 UTC	Disabled
0x9b8332d54500	1110	1110	1	login	0	1000	0	1000	2025-10-22 15:40:22.391365 UTC	Disabled
0x9b8332d50000	1144	1144	1	polkitd	0	0	0	0	2025-10-22 15:40:22.494936 UTC	Disabled
0x9b8332db9700	1333	1333	2	kworker/0:3	0	0	0	0	2025-10-22 15:40:23.076187 UTC	Disabled
0x9b8332db8000	1967	1967	1	systemd	1000	1000	1000	1000	2025-10-22 15:40:49.329561 UTC	Disabled
0x9b8332dbae00	1968	1968	1967	(sd-pam)	1000	1000	1000	1000	2025-10-22 15:40:49.332487 UTC	Disabled
0x9b8375239700	1991	1991	1110	bash	1000	1000	1000	1000	2025-10-22 15:40:49.385210 UTC	Disabled
0x9b837c8f8000	2204	2204	2	kworker/1:0	0	0	0	0	2025-10-22 17:10:14.500096 UTC	Disabled
0x9b8332dbdc00	2205	2205	2	kworker/u4:0	0	0	0	0	2025-10-22 17:11:10.514524 UTC	Disabled
0x9b837c918000	2214	2214	2	kworker/u4:3	0	0	0	0	2025-10-22 18:04:10.804198 UTC	Disabled
0x9b8333389700	2215	2215	2	kworker/u4:1	0	0	0	0	2025-10-22 18:09:57.651971 UTC	Disabled
0x9b8333361700	2220	2220	2	kworker/u4:2	0	0	0	0	2025-10-22 18:15:19.444474 UTC	Disabled
